Model,Accuracy,Precision,Recall,F1_Score
SVC,0.7057346169945584,0.6597146112632154,0.7057346169945584,0.670317318230901
RF,0.7170364169108413,0.679527891890374,0.7170364169108413,0.6874415528130825
LogReg,0.7329426538300544,0.5372049338034429,0.7329426538300544,0.6199915878533455
